"name";"roles"
"studio-app-root";"BPM Manager|BPM User|BPM Read"
"studio-app-studio";"BPM Manager|BPM User|BPM Read"
"studio-app-reporting";"BPM Manager|BPM User|BPM Read"
"studio-app-studio-charts";"BPM Manager|BPM User|BPM Read"
"studio-app-studio-dashboards";"BPM Manager|BPM User|BPM Read"
"studio-app-config";"BPM Manager"
"studio-app-studio-apps";"BPM Manager|BPM User|BPM Read"
"studio-app-custom-models";"BPM Manager|BPM User|BPM Read"
"studio-app-custom-fields";"BPM Manager|BPM User|BPM Read"
"studio-app-studio-menus";"BPM Manager|BPM User|BPM Read"
"studio-app-studio-actions";"BPM Manager|BPM User|BPM Read"
"studio-app-config-studio-selections";"BPM Manager"
"studio-app-config-actions";"BPM Manager"
"studio-app-config-mappers";"BPM Manager"
"studio-app-app-loaders";"BPM Manager|BPM User|BPM Read"
"studio-web-service";"BPM Manager|BPM User|BPM Read"
"studio-web-service-ws-request";"BPM Manager|BPM User|BPM Read"
"studio-web-service-ws-connector";"BPM Manager|BPM User|BPM Read"
"studio-web-service-ws-authenticator";"BPM Manager|BPM User|BPM Read"
